description,title,category,creationDate,dueDate,priority,isDone,doneDate
"do wymiany:
- klocki
- rozrzad",Wizyta u mechanika,Zadanie,2018-06-20 15:21,2018-07-06 11:42,1,false,
"- olej
- maslo
- windows 10
- laptop",Zakupy,Zadanie,2018-06-10 15:22,2018-07-03 13:20,4,true,2018-06-29 19:55
"aplikacja w springu
+ hibernate
+ bootstrap",Zaliczenie z obiektowki,Exam,2018-06-20 15:23,2018-07-01 18:10,1,false,
Sylwia Grzeszczak w Tychach,Koncert,Event,2018-06-20 15:24,2018-07-01 20:30,4,false,
kupic prezent,Urodziny Oliego,Birthday,2018-06-20 15:25,2018-04-17 13:40,4,false,
kupic prezent,Urodziny Ani,Birthday,2018-06-20 15:26,2018-09-23 11:37,1,false,
"Sprawdzic czy jest olej w kosiarce
Kupic benzyne do kosy",Pokosic ogrodek,Zadanie,2018-06-20 15:27,2018-06-02 11:36,2,true,2018-06-29 19:55
W koncu isc spac,Wyspac się,Event,2018-06-20 15:28,2018-07-01 23:10,1,false,
 ,Sprawozdanie z PeiM,Exam,2018-06-20 15:29,2018-07-01 11:34,3,true,2018-07-01 09:34
pilne!,Zaktualizowac system,Zadanie,2018-06-20 15:28,2018-07-01 02:10,1,false,
